"msdnID","locale","Product family version","Target URL"
"7cc935ea-6b19-4494-b746-259aa7aaa9cc","en-us","","https://msdn.microsoft.com/XXX/writeconsoleoutputcharacter"
"60f59616-d42b-469a-acf1-c1b71e68f560","en-us","","https://msdn.microsoft.com/XXX/console-structures"
"5574a862-b262-41af-8862-e9837c5c7b5f","en-us","","https://msdn.microsoft.com/XXX/char-info-str"
"0e71ce8c-e008-4bd7-922e-c44484b425ef","en-us","","https://msdn.microsoft.com/XXX/console-cursor-info-str"
"380b8183-1964-46f2-a511-01f39f21f5c5","en-us","","https://msdn.microsoft.com/XXX/console-font-info-str"
"e9a087e1-264d-4d48-8adb-771a0e35b511","en-us","","https://msdn.microsoft.com/XXX/console-font-infoex"
"df7d2f12-5299-47ed-b1f6-2db903dba81b","en-us","","https://msdn.microsoft.com/XXX/console-history-info"
"6a8451a6-d692-43af-88c4-972c4dc5e07c","en-us","","https://msdn.microsoft.com/XXX/console-readconsole-control"
"586b3e0f-2f6b-4a03-b8e4-602a892be56d","en-us","","https://msdn.microsoft.com/XXX/console-screen-buffer-info-str"
"6ed40df3-063d-41c9-8637-510c95104603","en-us","","https://msdn.microsoft.com/XXX/console-screen-buffer-infoex"
"9530b249-8db4-4516-9cc8-2b452c6751f9","en-us","","https://msdn.microsoft.com/XXX/console-selection-info-str"
"d730c46e-ea17-475e-b956-8ee5f4f5c04e","en-us","","https://msdn.microsoft.com/XXX/coord-str"
"4db0ae89-8446-4f0a-98e2-ba0b11ef7efe","en-us","","https://msdn.microsoft.com/XXX/focus-event-record-str"
"a46ba7fd-097a-455d-96ac-13aa01e11dc1","en-us","","https://msdn.microsoft.com/XXX/input-record-str"
"b3fed86b-84ef-48e4-97e1-cb3d65f714a7","en-us","","https://msdn.microsoft.com/XXX/key-event-record-str"
"7efef0e0-01ba-44ba-a972-25c6b3aed2bd","en-us","","https://msdn.microsoft.com/XXX/menu-event-record-str"
"84ea54c6-8872-4111-8d72-1377409b9247","en-us","","https://msdn.microsoft.com/XXX/mouse-event-record-str"
"62639815-c7e9-4ae2-b152-61290f78422b","en-us","","https://msdn.microsoft.com/XXX/small-rect-str"
"2f2875e8-aa09-455b-a923-7cc388525b98","en-us","","https://msdn.microsoft.com/XXX/window-buffer-size-record-str"
"b7078b2d-5508-4e42-bac2-34b70f1856e2","en-us","","https://msdn.microsoft.com/XXX/console-winevents"
